document title,authors,author affiliations,publication title,date added to xplore,publication year,volume,issue,start page,end page,abstract,issn,isbns,doi,funding information,pdf link,author keywords,ieee terms,mesh_terms,article citation count,patent citation count,reference count,license,online date,issue date,meeting date,publisher,document identifier,cluster_tfidf,cluster_jaccard
A Computational System of Psycholinguistic Fuzzy Inference Under Uncertainty,B. Khayut; L. Fabri; M. Avikhana,"Intelligent Decisions Technologies, Systems at IDTS, Ashdod, Israel; Intelligent Decisions Technologies, Systems at IDTS, Ashdod, Israel; Intelligent Decisions Technologies, Systems at IDTS, Ashdod, Israel",2022 International Conference on INnovations in Intelligent SysTems and Applications (INISTA),23 Sep 2022,2022,,,1,6,"The modern intelligent systems of the Narrow Artificial Intelligence (NAI) cannot independently and continuously think, reason, cognize, and carry out a Logical Inference, based on these computational reasonable functions under: a) uncertainty, b) time changing of the situations and objects of surrounding environment, and c) without using of the human's intellect for retrain (reprogramming) these systems. For a solution of these NAI's problem and in order to create a new reasonable generation of Artificial Intelligence Fuzzy Logic Inference Subsystem (AIFLIS), in this paper is proposed the conception, model, method and subsystem for modeling of the Computational Psycholinguistic and Cognitive Fuzzy Inference in the identified Subject Domain by implementation of the following Computational Brain's computational subsystems: a) identification and preprocessing of the psycholinguistic, lingual, sound, signal. and other meanings of objects, associated with the images of the subject area, and b) situational fuzzy control of computational memory, decision-making, reasoning, thinking, consciousness, awareness, cognition, intuition, wisdom, and others. To implement of the AIFLIS functionality, have been applied the Situational Control, Fuzzy Logic, Psycholinguistics, Data Science, and Informatics.",2768-7295,978-1-6654-9810-4,10.1109/INISTA55318.2022.9894239,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9894239,computational brain;psycholinguistic;situational fuzzy control;reasonable fuzzy inference;uncertainty,Fuzzy logic;Technological innovation;Uncertainty;Computational modeling;Data science;Brain modeling;Cognition,,1.0,,18.0,IEEE,23 Sep 2022,,,IEEE,IEEE Conferences,3,2
New content behind the concept intelligent engineering,L. Horváth; I. J. Rudas; G. Hancke,"John von Neumann Faculty of Informatics, Institute of Intelligent Engineering Systems, Óbuda University, Budapest, Hungary; John von Neumann Faculty of Informatics, Institute of Intelligent Engineering Systems, Óbuda University, Budapest, Hungary; Department of Electrical, University of Pretoria, Pretoria, South Africa",2010 IEEE 14th International Conference on Intelligent Engineering Systems,14 Jun 2010,2010,,,73,78,"Intelligence in engineering systems is expected to gain much more attention during the next years than presently because making interdependent decisions along contextual chains by an engineer increasingly requires reproduction of earlier decisions by other engineers. While a single decision on an object parameter or parameter group in a product structure may be influenced by several humans, humans are strictly responsible for their decisions. The only way is development of transparent intelligent engineering procedures those are capable for representation of humans. The above features of engineering tasks do not allow application of closed procedures from the conventional knowledge engineering and computational intelligence. The authors are engaged in application of knowledge based methods in intelligent engineering. This paper starts with purposeful characterizing of intelligent engineering features in current industrial product modeling systems. Following this, it discusses possibilities for adding intelligence to current product modeling processes. An earlier proposed method by the authors in modeling of human intent driven engineering objectives and contextual connections as entities to assist decisions is applied. Finally, the authors propose a possible way to capture human thinking process element in order to establish intelligent content in product models. The starting point of the proposed modeling is current modeling functionality of industrial product lifecycle management systems widely applied in aircraft, car, house appliance and other industries.",1543-9259,978-1-4244-7652-7,10.1109/INES.2010.5483869,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5483869,,Competitive intelligence;Humans;Computational intelligence;Knowledge engineering;Aerospace industry;Intelligent systems;Systems engineering and theory;Context modeling;Aircraft;Home appliances,,1.0,,12.0,IEEE,14 Jun 2010,,,IEEE,IEEE Conferences,1,2
Product modeling beyond information,L. Horvath; I. J. Rudas,"Budapest Tech, John von Neumann Faculty of Informatics, Institute of Intelligent Engineering Systems, Budapest, Hungary; Budapest Tech, John von Neumann Faculty of Informatics, Institute of Intelligent Engineering Systems, Budapest, Hungary",2009 5th International Symposium on Applied Computational Intelligence and Informatics,26 Jun 2009,2009,,,177,182,"The authors introduce a new method for the establishment of an extension to current product models in order to enhanced communication between human and modeling processes. The main contribution of the reported work to product modeling is a dialogue input and model representation of human intent in order to make assistance for human who applies product model and needs important details from thinking process of human whom decision must be considered. The proposed method enforces human intent based definition of engineering objects. In order to achieve this, human intent representation is used at definition of engineering objectives for definition of engineering objects while contextual connections amongst intents, objectives and decisions, and amongst these entities and engineering objects are also considered. Consequences of changes of engineering objects are tracked along change chains in the change affect zones of the changed engineering objects. This modeling constitutes a new extension to classical product modeling and is placed between the human and the current information based product model in order to establish an efficient and coordinated control of engineering object parameters.",,978-1-4244-4477-9,10.1109/SACI.2009.5136237,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5136237,,Humans;Knowledge engineering;Engineering management;Performance analysis;Shape;Computational intelligence;Informatics;Systems engineering and theory;Decision making;Production planning,,,,13.0,IEEE,26 Jun 2009,,,IEEE,IEEE Conferences,1,2
Changed demand for knowledge at enhanced product definition in PLM systems,L. Horváth; G. Szabó; I. J. Rudas,"Budapest Tech, Budapest, Hungary; Faculty of Engineering, University of Szeged, Szeged, Hungary; Budapest Tech, Budapest, Hungary",2009 4th International Symposium on Computational Intelligence and Intelligent Informatics,1 Dec 2009,2009,,,101,106,"This paper discusses the knowledge based aspect of an enhanced product model by the authors in which background of product information is modeled at object modeling assisted electronic definition of products. The introducing issue is role of knowledge in product modeling considering main schema of product definition. Definition of knowledge for indirect communication between engineers by the interpretation of product model is discussed through human thinking driven product definition, sources of human intent at product definition, and concept of extension of product definition to information content. A concept is shown for the modeling of advising background knowledge as information content considering engineering objects in real world product structure. A new multilevel product model is detailed. In this model, enhanced human intent based decision making is assisted by organized engineering object information and information content on levels of product model. Finally, some future plans are outlined for the work that is devoted as a contribution to intelligent product modeling for the every day engineering in product lifecycle management (PLM) systems.",,978-1-4244-5380-1,10.1109/ISCIII.2009.5342275,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5342275,,Knowledge engineering;Humans;Computational intelligence;Competitive intelligence;Informatics;Process design;Internet;Decision making;Engineering management;Recycling,,,,11.0,IEEE,1 Dec 2009,,,IEEE,IEEE Conferences,1,2
Toward General AI: Consciousness Computational Modeling Under Uncertainty,B. Khayut; L. Fabri; M. Avikhana,"Self-development AI Systems Intelligent Decisions, Technologies Systems at IDTS, Ashdod, Israel; Self-development AI Systems Intelligent Decisions, Technologies Systems at IDTS, Ashdod, Israel; Self-development AI Systems Intelligent Decisions, Technologies Systems at IDTS, Ashdod, Israel",2020 International Conference on Mathematics and Computers in Science and Engineering (MACISE),14 Sep 2020,2020,,,90,97,"The modern expert and statistical computing systems of Artificial Intelligence do not understand what they are doing when they operate under uncertainty and changing situations in the fuzzy environment. Towards a solution this problem, we propose the method, model and system of Consciousness Computational Modeling Under Uncertainty for Systems of General Artificial Intelligence. The functionality of this concept is implemented by developed methods and models of organization of neural semantic network Memory, using the self-organized Subject Area Thesaurus (Knowledge Base), of situational Fuzzy Control of data, information, knowledge and objects, Fuzzy Inference, Decision Making, Knowledge Representation, Knowledge Generalization, Knowledge Explanation, Reasoning, Systems Thinking, Cognition, Intelligent User Interface, Computational Systemic Mind, Awareness and Full Understanding of the reality. For modeling of this functionality, the main achievements of Systems Approach, Fuzzy Logic, Situational Control, Linguistics and Computer Science at whole were applied.",,978-1-7281-6695-7,10.1109/MACISE49704.2020.00022,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9195575,ai;consciousness;computational;modeling;uncertainty,Computational modeling;Data models;Semantics;Uncertainty;Linguistics;Fuzzy control;Artificial intelligence,,5.0,,20.0,IEEE,14 Sep 2020,,,IEEE,IEEE Conferences,3,2
"Modeling of computational perception of reality, situational awareness, cognition and machine learning under uncertainty",B. Khayut; L. Fabri; M. Avikhana,"IDTS: R&D, IDTS at Intelligent Decisions Technologies Systems, Ashdod, Israel; IDTS: R&D, IDTS at Intelligent Decisions Technologies Systems, Ashdod, Israel; IDTS: R&D, IDTS at Intelligent Decisions Technologies Systems, Ashdod, Israel",2017 Intelligent Systems Conference (IntelliSys),26 Mar 2018,2017,,,331,340,"The paper suggests how to model a computational perception of reality, situational awareness, cognition and machine learning, in the system of Computational Systemic Deep Mind. The modules of this model, determine the states of objects in the environment of unknown in advance situation, represent and realize the objects by machine memory, display the objects to be recognized by systems and humans. The method applies to the principles of the systemic and situational control, the main achievements of fuzzy logic, linguistics and cyber-physical approach to the perception, understanding and processing of languages, images, signals and other essences of reality. The functionality of this method is based on the following interconnected modules: 1) situational fuzzy control of data, information, knowledge, objects and subsystems; 2) fuzzy inference; 3) decisions making; 4) knowledge representation; 5) knowledge generalization; 6) reasoning; 7) systems thinking; and 8) intelligent user interface. The use of this method allows to be self-organized under uncertainty and to operate autonomously in various subject areas.",,978-1-5090-6435-9,10.1109/IntelliSys.2017.8324314,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8324314,Modeling;computational;perception;situation;cognition;learning;mind;systems;uncertainty,Computational modeling;Cognition;Real-time systems;Intelligent systems;Uncertainty;Data models;Fuzzy logic,,2.0,1.0,24.0,IEEE,26 Mar 2018,,,IEEE,IEEE Conferences,3,2
Complex adaptive models for the integration of product centered engineering,L. Horváth; I. J. Rudas,"John von Neumann Faculty of Informatics, Institute of Applied Mathematics, Óbuda University, Budapest, Hungary; John von Neumann Faculty of Informatics, Institute of Applied Mathematics, Óbuda University, Budapest, Hungary",2013 IEEE 9th International Conference on Computational Cybernetics (ICCC),3 Oct 2013,2013,,,107,112,"Classical problem in engineering modeling is that product changes and environmental effects on product are hard to propagate in the product model during engineering activities for the lifecycle of products. In order to support change handling, product modeling in current product lifecycle management (PLM) system uses feature and contextual connection definitions to realize self-adaptive characteristics of product model. Actual problems with this model are identified and recent contributions to establish new modeling solutions are introduced in this paper. The main objectives are to enhance self adaptive characteristics of currently applied product models and to extend contextual connections to new features providing higher level knowledge representation capability. Open architecture PLM system representing latest product modeling principles and methods is considered as environment for the research, simulation, and implementation demanded by the proposed extension using new features and contexts.",,978-1-4799-0063-3,10.1109/ICCCyb.2013.6617571,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6617571,,Adaptation models;Context modeling;Context;Computational modeling;Mathematical model;Adaptive systems,,,,12.0,IEEE,3 Oct 2013,,,IEEE,IEEE Conferences,1,2
Knowledge acquisition at human-computer interaction for product definition,L. Horváth; I. J. Rudas,"John von Neumann Faculty of Informatics, Institute of Intelligent Engineering Systems, Óbuda University, Budapest, Hungary; John von Neumann Faculty of Informatics, Institute of Intelligent Engineering Systems, Óbuda University, Budapest, Hungary",2011 6th IEEE International Symposium on Applied Computational Intelligence and Informatics (SACI),9 Jun 2011,2011,,,489,494,"Knowledge based methodology is one of the primary areas of development in engineering problem solving methods for decades. In the meantime, product definition has been moved into model space. Establishment of the STEP (Standard for the Exchange of Product Model Data, ISO 10303) product model standard and it application at leading industries during 90's facilitated development of model based integrated solutions for product engineering. During the past decade, the new paradigm of product lifecycle management stimulated integrated handling of information for lifecycle of products. Product model has become a medium in communication between end users of engineering systems including humans and controlled equipment. One of the most critical elements in this scenario is communication of knowledge with product modeling processes in order to generate knowledge background of engineering object definition in product model. This paper introduces a method by the authors to extract knowledge background during definition of product objects in the form of initiated affect on product. Human thinking process is modeled by its elements during definition of intent for a change of a product. Evolving steps towards the defined object changes and the served objectives for the defined objects are recorded. Following this, process for the definition of coordinated product behaviors and affect propagation in a specific and purposeful change affect zone are explained. Finally, an extended product definition space is explained as medium in integrated product modeling using the proposed method.",,978-1-4244-9109-4,10.1109/SACI.2011.5873053,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5873053,,Humans;Industries;Aerospace electronics;Data models;Knowledge engineering;Informatics;Adaptation model,,2.0,,10.0,IEEE,9 Jun 2011,,,IEEE,IEEE Conferences,1,2
Modeling of Computational Systemic Mind Under Uncertainty,B. Khayut; L. Fabri; M. Avikhana,"IDTS: R&D, IDTS at Intelligent Decisions Technologies Systems, Ashdod, Israel; IDTS: R&D, IDTS at Intelligent Decisions Technologies Systems, Ashdod, Israel; IDTS: R&D, IDTS at Intelligent Decisions Technologies Systems, Ashdod, Israel",2016 IEEE 8th International Conference on Intelligent Systems (IS),10 Nov 2016,2016,,,253,258,"The computational method and model of Module of Modeling of Computational Systemic Mind Under Uncertainty is oriented on use as plug-in in systems of Artificial Intelligence, which are characterized by the ability to be self-organized and to operate computationally, intellectually, autonomously, systemically and continuously real time, under uncertainty, in inhomogeneous subject areas, in unknown in advance situations and scenarios of processing, through of perception, extraction, identification, classification, situational fuzzy control and actualizing of relevant unstructured data, information, knowledge, objects, models, processes, graphical and gestural images, extracted from languages and reality, for representation their in corresponding repositories and organizing on their basis of processes of Perception, Reasoning, Systems Thinking and Cognition under uncertainty and Fuzzy Environment, using methods of application of principles of Situational Control and Systems Approach, main aspects of Fuzzy Logic, Linguistics, Computational Mind, Cognitive Science, Artificial Intelligence and developed methods of: (a) Situational Control of data, information, knowledge, objects, models and processes, (b) Perception the reality of environment, (c) Knowledge Representation, Generalization and their Explanation, (d) Fuzzy Inference, (e) Decision making and Planning decisions, (f) Intelligent User Interface, (g) Control of Dialogue, (h) Reasoning and Systems Thinking, and (i) Cognition at whole.",,978-1-5090-1354-8,10.1109/IS.2016.7737429,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7737429,,Computational modeling;Process control;Data models;Cognition;Uncertainty;Pragmatics;Fuzzy logic,,2.0,,19.0,IEEE,10 Nov 2016,,,IEEE,IEEE Conferences,3,2
On the way towards model for background of decisions on engineering objects in PLM,L. Horváth; I. J. Rudas; G. Hancke,"John von Neumann faculty of Informatics, Budapest Tech, Hungary; John von Neumann faculty of Informatics, Budapest Tech, Hungary; Department of Electrical, Electronic and Computer Engineering, University of Pretoria, South Africa",2009 IEEE International Conference on Computational Cybernetics (ICCC),22 Jan 2010,2009,,,185,190,"This paper introduces a method for better communication between collaborating engineers and between engineer and entity generation processes at the definition of products in modeling systems. The authors recognized the importance of correct human-computer- human communication by using of product model as a special medium for engineers. In order to establish a product model that is appropriate for this purpose, they integrated all influencing effects on a product in an influencing space. In order to record content of influencing by engineers and other influencing persons, authorities, etc., the currently prevailing information based product model is completed by representation of information content. This paper emphasizes some relevant issues of information content. Definition of this contents starts from modeling of human intent. Intent model is consists of information about the owner of an intent, characteristics of that intent, and representation of content of intent in some form of knowledge. Information content is organized in the interconnected intent, behavior, and decision spaces. In a hierarchical system, intent space is at the highest and decision space is at the lowest level hierarchy assuring human intent based automation of decision making on engineering object in an improved product model.",,978-1-4244-5310-8,10.1109/ICCCYB.2009.5393938,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5393938,Product Lifecycle Management;Product modeling;Human-Computer Interaction;Content based modeling;Decision making in engineering,Humans;Decision making;Recycling;Context modeling;Cybernetics;Informatics;International collaboration;Hierarchical systems;Automation;Content management,,1.0,,14.0,IEEE,22 Jan 2010,,,IEEE,IEEE Conferences,1,2
