document title,authors,author affiliations,publication title,date added to xplore,publication year,volume,issue,start page,end page,abstract,issn,isbns,doi,funding information,pdf link,author keywords,ieee terms,mesh_terms,article citation count,patent citation count,reference count,license,online date,issue date,meeting date,publisher,document identifier,cluster_tfidf,cluster_jaccard
Computational support for visual thinking in design ideation,R. Oxman,"Faculty of Architecture and T.P.Technion, Haifa, Israel",Proceedings. 1998 IEEE Conference on Information Visualization. An International Conference on Computer Visualization and Graphics (Cat. No.98TB100246),6 Aug 2002,1998,,,192,195,"A CDM (cognitive design medium) is defined as a medium which supports the cognitive nature of design in computerized environments. We review the theoretical background and demonstrate the basis upon which an interactive counterpart can be achieved in supporting the cognitive capabilities of the designer, such as visual thinking. The approach is elaborated and illustrated by experimental work in the area of conceptual design. We define three phenomena related to visual thinking in design which are characteristic of conceptual design: ideation, re-representation, and the evocation of generic representations. Finally, we demonstrate through examples how interactive computational environments can support these cognitive design phenomena.",1093-9547,0-8186-8509-3,10.1109/IV.1998.694219,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=694219,,Cognition;Psychology;Computer architecture;Couplings;Process design;Computational modeling;Buildings;Graphics,,,,8.0,IEEE,6 Aug 2002,,,IEEE,IEEE Conferences,2,4
A Design Thinking Process Model for Capturing and Formalizing Design Intents,Z. Sun; J. Liu,"School of Mechanical Engineering and Automation, Beihang University, China; School of Mechanical Engineering and Automation, Beihang University, China",2008 International Symposium on Computational Intelligence and Design,22 Dec 2008,2008,2.0,,330,333,"This paper presents a design thinking process model that records not only the design procedure and decisions but also the design intents behind them. The design thinking process is evolved based on the interaction among design intents, operations and justifications. The taxonomy of design intents is explored. Based on different pairs of design intents and operations, segments of the design thinking process are identified. A design thinking process knowledge management prototype system is developed for modeling design thinking process. An example of the original design of an automatic teller machine (ATM) demonstrates how the design thinking process model is represented.",,978-0-7695-3311-7,10.1109/ISCID.2008.192,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4725519,Design process;Design thinking process model;Design intent,Process design;Computational intelligence;Sun;Mechanical engineering;Design automation;Taxonomy;Knowledge management;Prototypes;Management information systems;Aerospace engineering,,5.0,,8.0,IEEE,22 Dec 2008,,,IEEE,IEEE Conferences,2,3
Research on Intelligent Product Design based on Cognitive Thinking and Visual Thinking,D. Hemin; J. Junjie,"Shenzhen University of Technology, Shenzhen, China; City University of Macau, Macau, China",2021 26th International Conference on Automation and Computing (ICAC),15 Nov 2021,2021,,,1,6,"Intelligent product design has become an important part of product design due to its outstanding convenience and functionality. First of all, through the study of cognitive thinking and visual thinking, this article concludes that the two have important guiding roles in product design. Secondly, use the specific laws in cognitive thinking and visual thinking to derive the corresponding intelligent product design principles. Then, a intelligent product design process that is conducive to function setting and styling design is derived. The purpose is to introduce a good design plan for the material level, the behavior level, and the spiritual level. Finally, the research results are demonstrated by design practice. It is hoped that this article will have a certain enlightenment for related designers to carry out intelligent product design.",,978-1-86043-557-7,10.23919/ICAC50006.2021.9594234,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9594234,cognitive thinking;visual thinking;intelligent product design;design practice,Visualization;Automation;Roads;Computational modeling;Tools;Product design;Reliability,,,,4.0,,15 Nov 2021,,,IEEE,IEEE Conferences,2,4
DMML: A Design Thinking Process Modeling Language,J. Liu; M. Zhang; X. Hu,"School of Mechanical Engineering and Automation, Beihang University, Beijing, China; School of Mechanical Engineering and Automation, Beihang University, Beijing, China; School of Mechanical Engineering and Automation, Beihang University, Beijing, China",2011 12th International Conference on Computer-Aided Design and Computer Graphics,31 Oct 2011,2011,,,44,48,"Because design is an iterative and evolving process, recording and representing designer's thinking process plays an important role for design change and reuse. After giving a brief review of the previous related research, a design thinking process model is created for representing the design thinking process. Its knowledge structure consisting of design intent, design decision, design rationale and design operation is explained in detail. Based on the proposed model, a knowledge modeling language (Design Mental Modeling Language, DMML) is developed for expressing and reasoning the design thinking process explicitly. Semi-formal structure is used by DMML, which can improve both the expressiveness and computability of this language. A visual modeling system is developed for implementing DMML and an example is presented for illustration.",,978-1-4577-1079-7,10.1109/CAD/Graphics.2011.56,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062764,design thinking process;knowledge representation;modeling language;design intent,Computational modeling;Grammar;Unified modeling language;Cognition;Solid modeling;Computers;Visualization,,1.0,,9.0,IEEE,31 Oct 2011,,,IEEE,IEEE Conferences,2,3
Research on design sketch teaching from the view of creative thinking,Mingzhu Li; Zhangping Lu; Liqing Huang; Canqun He,"Department of Industrial Design, Jiangsu University, Zhenjiang, China; Department of Mechanical Engineering, Jiangsu University, Zhenjiang, China; Department of Industrial Design, Jiangsu University, Zhenjiang, China; Department of Industrial Design, Jiangsu University, Zhenjiang, China",2010 IEEE 11th International Conference on Computer-Aided Industrial Design & Conceptual Design 1,6 Jan 2011,2010,1.0,,321,324,"Design sketch is at the core of the product design process. How to use design sketch to express design concepts and develop creative thinking, is the key point in design sketch teaching. Firstly, the definition, classification and function of design sketch are explained. Secondly, its importance in the product design process is analyzed. Then design sketch is compared with computer rendering. The uncertainty of design sketch is presented to reveal its ambiguity. Thirdly, the relationship between the ambiguity of design sketch and creative thinking is discussed. Finally, the teaching points of design sketch are proposed from two aspects of presentation techniques and training contents. Appropriate drawing tools and techniques should be chosen according to the characteristics of different stages of the design process and progressive training should be insisted on, so that design sketch can really serve as a primer for the successive courses of product design.",,978-1-4244-7974-0,10.1109/CAIDCD.2010.5681346,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5681346,design sketch;creative thinking;ambiguity;design sketch teaching,Computational modeling;Three dimensional displays;Shape;Universal Serial Bus;Solid modeling;Visualization,,,,5.0,IEEE,6 Jan 2011,,,IEEE,IEEE Conferences,2,3
Research on Ideation Process and Design Productivity of ChatGPT Based on LASSO and Linkography,J. Huang; X. Zhang; Y. Tang,"College of Computer Science and Technology, Zhejiang University, Hangzhou, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, China",2023 16th International Symposium on Computational Intelligence and Design (ISCID),15 Apr 2024,2023,,,184,187,"In design, good ideas are the source of a designer’s creativity. With the development of artificial intelligence, large language models (LLMs) represented by ChatGPT shows excellent conversational and creative reasoning capabilities. However, we still know very little about the design ideation process and its performance in terms of productivity. In this paper, we propose a representation of the design ideation process based on NLP. On this basis, referring to LASSO and linkography method, we propose a DCLASSO model to calculate the interconnections between design moves in protocol analysis. In the subsequent experiment, we take the design protocols generated by ChatGPT as the experimental sample to verify the proposed model. Finally, with the generated linkographs, the characteristics of ChatGPT and human designers are analyzed and compared from aspects of design ideation process and design productivity.",2473-3547,979-8-3503-1745-9,10.1109/ISCID59865.2023.00051,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10494302,Design productivity;Design ideation;ChatGPT;Linkography,Productivity;Analytical models;Protocols;Computational modeling;Chatbots;Cognition;Creativity,,1.0,,17.0,IEEE,15 Apr 2024,,,IEEE,IEEE Conferences,2,3
Applications of Machine Learning to Form-giving in Industrial Design,H. -H. Wang,"Department of Industrial Design, National Taipei University of Technology, Taipei, Taiwan",2022 IEEE 5th Eurasian Conference on Educational Innovation (ECEI),20 Jul 2022,2022,,,110,113,"Machine learning is a key technology to design and develop products, systems, and even services. In particular, image classification using deep learning has been successfully applied to many fields. Although industrial designers might learn this is an opportunity for their best practice, studies demonstrating how to integrate the technology into the design process are rare. Thus, we discussed the need to introduce ML to industrial design by presenting examples and ML tools with lower scientific thresholds such as Weka that is preferable for industrial design students and practitioners. A five-stage process of applying ML to product form-giving is presented to illustrate the bridging of ML to the design process. Further technical details and industry case studies are needed to demonstrate evidence of the advantages of ML in form-giving. The implication is not only in sharpening the tools of product form-giving but also in rethinking the theories of industrial design.",,978-1-6654-3318-1,10.1109/ECEI53102.2022.9829452,Ministry of Science and Technology; ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9829452,industrial design;product design;learning motivation;computational thinking,Industries;Deep learning;Technological innovation;Conferences;Best practices;Image classification,,,,21.0,IEEE,20 Jul 2022,,,IEEE,IEEE Conferences,2,4
Representing Design Intent for Computer-supported Consistency Maintenance,J. Liu; Z. Sun,"School of Mechanical Engineering and Automation, Beihang University, Beijing, China; School of Mechanical Engineering and Automation, Beihang University, Beijing, China",2008 International Conference on Computer Science and Information Technology,12 Sep 2008,2008,,,561,565,"In order to overcome the potential problems during design modification and reuse, it is necessary to record the design intent as an explicit part of the design thinking process and execute consistency maintenance of the design thinking process. This paper presents a design thinking process model that records not only the design activities and decisions but also the design intents behind them. Based on this model, two types of inconsistency in design thinking process are identified. The implementation of consistency check and maintenance is based on assumption-based truth maintenance system (ATMS).",,978-0-7695-3308-7,10.1109/ICCSIT.2008.147,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4624930,design thinking process;design intent;consistency maintenance;assumption-based truth maintenance system (ATMS),Asynchronous transfer mode;Maintenance engineering;Cognition;Computational modeling;Sun;Artificial intelligence;Biological system modeling,,,,13.0,IEEE,12 Sep 2008,,,IEEE,IEEE Conferences,2,3
Research on Computational Art Design Visual System Based on Weak Artificial Intelligence Technology,Y. Hu,"School of Media and Art Design, Wuhan Donghu University, Wuhan, China",2025 IEEE 14th International Conference on Communication Systems and Network Technologies (CSNT),23 Apr 2025,2025,,,873,879,"The increasing development of weak artificial intelligence technology has had a profound impact on the field of design. It not only provides new sources of inspiration for artistic creation, but also makes the constraints of visual communication design more complex. At the same time, media convergence has promoted a strong demand for cross media conversion and diversified output, especially in the process of brand visual innovation, where more and more multimedia elements, dynamic effects, and interactive needs are emerging. Traditional visual design methods are insufficient in this complex design environment, and there is an urgent need to innovate design patterns through new technologies and strategies. Since the concept of ""computational design"" was proposed, algorithms and programming techniques have gradually become the core tools of modern visual design. Through extensive practice, computational design has not only brought rich changes to brand visual forms, but also developed into a systematic design pattern that can respond to the diversity and dynamism of today's design needs. This study explores the structure and development of computational visual design systems, with a focus on analyzing their potential applications and practical strategies in new retail pet brands. Through in-depth market research, the application opportunities of computational design in brand vision have been revealed, and algorithm based brand vision construction strategies, brand image communication strategies, and community driven visual communication strategies have been proposed. Finally, by combining the actual design case of the ""Xiaopei Pet"" brand, the effectiveness of these strategies was verified, providing new ideas for innovation in the field of brand visual design and valuable experience for the future development of computational visual design.",2473-5655,979-8-3315-3193-5,10.1109/CSNT64827.2025.10968145,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10968145,Computational design;Brand Vision;Pet brand;New Retail,Visualization;Technological innovation;Visual communication;Diversity reception;Collaboration;Media;Market research;Mathematical models;Artificial intelligence;Visual perception,,,,10.0,IEEE,23 Apr 2025,,,IEEE,IEEE Conferences,2,4
"Perspectives on engineering design learning: Realities, challenges, and recommendations",W. Akili,"Principal, Geotechnical Engineering, Iowa, USA",2015 IEEE Frontiers in Education Conference (FIE),7 Dec 2015,2015,,,1,7,"Design is considered by most to be the central activity of engineering. Also, it is known that engineering programs should graduate engineers who can design effectively to meet social and environmental needs. Though the role and perception of design across a wide range of educational institutions have improved markedly in recent years; however, both, design faculty & design practitioners argue that further improvements are necessary. One of the defining characteristics of design is that there is rarely a single correct answer to an engineering problem but, rather, an optimal or acceptable solution leading to a final design, presented as the best possible balance between technical as well as non-technical constraints. These nontechnical constraints typically involve economics, politics, social and environmental issues, ethics, etc. And, while professional practitioners generally accept this understanding of design, students, by enlarge, tend to interpret the engineering design process as an unambiguous and clearly defined process supported by rigidly applied principles and processes of “the scientific method.” Students' vision and mis-concepts of design do require proper alignment with prevailing conditions on the ground. Undoubtedly, the start of any design course should be preceded by exposure to design thinking and related processes. The paper reviews the role of design in engineering programs, and outlines the current research on how design thinking processes could be taught and learned. It explores also the currently most-favored pedagogical model for teaching design, namely: Project-Based Learning (PBL). The paper identifies several contexts for PBL, along with some available data on it success. Finally, the paper raises some of the questions that should be answered to identify the most effective pedagogical practices of improving design learning.",,978-1-4799-8454-1,10.1109/FIE.2015.7344190,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7344190,Design education;design thinking;convergent & divergent thinking;project-based learning;the hybrid approach;team environment,Education;Uncertainty;Context;Data models;Computational modeling;Probabilistic logic,,3.0,,30.0,IEEE,7 Dec 2015,,,IEEE,IEEE Conferences,2,8
