Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
"On Computational Tools, Computational Thinking and Computational Methods",X. Zhang; H. Zou,"Sch. of Comput. Sci. & Technol., Ludong Univ., Yantai; Sch. of Comput. Sci. & Technol., Ludong Univ., Yantai",2009 First International Workshop on Education Technology and Computer Science,26 May 2009,2009,1.0,,503,507,"The appearance and innovation of computational tools depends on human thinking and initiative, and on the other hand, human thinking is affected by computational tools. The strong function of computational tools in some aspect is superior to that of human brains. It is the application of such strong function that changes the face of human society. At the same time, it presents new methods for scientific research and new perspective for solving problems, promotes human thinking to a higher level, and presents new means for people to understand and change the world. The advantage of computational tools over human brains is the speed, while the initiative ability of human brains is not owned by computational tools. Perfect combination of thinking and computing gives birth to a series of achievements, and lays the foundation of science.",,978-1-4244-3581-4,10.1109/ETCS.2009.120,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4958823,computational tools;computational thinking;computational methods,Humans;Computer science;Biology computing;Computer science education;Educational technology;Technological innovation;History;Evolution (biology);Computational intelligence;Face,,3.0,,6.0,IEEE,26 May 2009,,,IEEE,IEEE Conferences
The Teaching Mode and Practice Analysis of College Computer Basic Course Based on Computational Thinking,C. Xue; W. Zhun,"Department of Computer Science and Engineering, Guangzhou College of Technology and Business, Guangzhou, China; Department of Computer Science and Engineering, Guangzhou College of Technology and Business, Guangzhou, China",2020 13th International Conference on Intelligent Computation Technology and Automation (ICICTA),13 Sep 2021,2020,,,266,269,"This paper mainly adopts the theory with practice, combines the computational thinking method with education and teaching, and constructs the inquiry teaching model based on computational thinking. We adopt the formal teaching model and learning model, incremental expression of computational thinking ability to improve the effect, from the computational thinking of automation, abstract characteristics of the teaching and learning model based on computational thinking formalization. Then, in the case study, the learning support technology scheme of MOOC course platform combining mobile terminal and HTML5 is designed. Through teaching practice and quantitative analysis of experimental behavior, the platform effectively avoids the interference of programming language code, which simplifies the expression and application process of algorithm thinking, and enhances students' interest and operation of programming working ability.",,978-1-7281-8666-5,10.1109/ICICTA51737.2020.00063,Guangdong Province “Research and Practical Exploration on the Reform of Computer Basic Teaching Mode Combined with Innovation Ability and Computational Thinking”(grant numbers:20191206); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9526726,computational thinking;practice analysis;computer basic teaching;HTML;MOOC,Computer languages;Computer aided instruction;Automation;Electronic learning;Codes;Statistical analysis;Computational modeling,,1.0,,8.0,IEEE,13 Sep 2021,,,IEEE,IEEE Conferences
"Integrating Mathematical Thinking, Abstract Thinking, and Computational Thinking",K. McMaster; B. Rague; N. Anderson,"Saint Mary''s College of Maryland, USA; Weber State University, USA; Winona State University, USA",2010 IEEE Frontiers in Education Conference (FIE),23 Dec 2010,2010,,,S3G-1,S3G-6,"In recent years, several groups of Computer Science educators have made a sustained effort to capture the essence of CS apart from programming. Three of these approaches are Mathematical Thinking, Abstract Thinking, and Computational Thinking. Each approach tries to clarify areas of CS that are not directly tied to writing computer programs. In a separate line of research, the current authors have been examining different ways to teach mathematics to CS students. We developed a Computational Math scale that measures the level of problem-solving gestalt exhibited by textbook authors. In this study, we relate our Computational Math framework to current research on Mathematical, Abstract, and Computational (MAC) Thinking. We counted words used frequently in research articles and compared them to words that form the Computational Math scale. Our results suggest an overall MAC Thinking framework that integrates a wide range of topics relevant to computing and programming.",2377-634X,978-1-4244-6262-9,10.1109/FIE.2010.5673139,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5673139,Abstraction;Algorithm;Computational Math;Model;Thinking,Computers;Computational modeling;Programming profession;Books;Mathematical model,,10.0,,25.0,IEEE,23 Dec 2010,,,IEEE,IEEE Conferences
Promoting Computational Thinking Skills Through Game-Based Learning of Students in Lower Secondary School,S. Saenboonsong; A. Poonsawad,"Faculty of Education, Phranakhon Si Ayutthaya Rajabhat University, Phranakhon Si Ayutthaya, Thailand; Faculty of Science and Technology, Phranakhon Si Ayutthaya Rajabhat University, Phranakhon Si Ayutthaya, Thailand",2024 9th International STEM Education Conference (iSTEM-Ed),6 Sep 2024,2024,,,1,4,"This study's objectives were to: 1) compare computational thinking skills before and after game-based learning activities; and 2) study students' satisfaction after game-based learning. The research methodology uses the ADDIE model by driving game-based learning activities and promoting students with computational thinking skills, including decomposition, pattern recognition, abstraction, and algorithm design. The statistical methods used to analyze the data were mean, standard deviation, and t-test. The study's findings revealed that 1) the students' computational thinking skills improved significantly after engaging in game-based learning activities, demonstrating statistical significance at the.05 level, and 2) the overall students' satisfaction after activities with game-based learning was averaged at the highest level (= 4.75, S.D. = 0.52).",,979-8-3503-6597-9,10.1109/iSTEM-Ed62750.2024.10663178,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10663178,computational thinking skills;game-based learning;learning activity,Statistical analysis;Computational modeling;Education;Pattern recognition;Standards,,,,20.0,IEEE,6 Sep 2024,,,IEEE,IEEE Conferences
Bringing Computational Thinking Skills Into Physics Classroom Through Project-Based Learning,R. D. Handayani; A. D. Lesmono; S. B. Prastowo; B. Supriadi; N. M. Dewi,"Physics Education Department, University of Jember, Jember, Indonesia; Physics Education Department, University of Jember, Jember, Indonesia; Physics Education Department, University of Jember, Jember, Indonesia; Physics Education Department, University of Jember, Jember, Indonesia; Physics Education Department, University of Jember, Jember, Indonesia",2022 8th International Conference on Education and Technology (ICET),23 Dec 2022,2022,,,76,80,"Computational thinking is a fundamental thinking skill for students in the 21st-century learning era. This study aims to integrate computational thinking skills in physics through project-based learning. Data were gathered through observation, interviews, and portfolio documents. The results indicated three main categories of computational thinking: decomposition, abstraction, and simulation. The implementation of project-based learning can develop students’ computational thinking skills. Students are trained to solve physics problems analytically and precisely in structured and logical thinking through a project. This research is expected to be the information for physics teachers to integrate computational thinking in the classroom as a 21st-century learning skill.",2770-4807,978-1-6654-9214-0,10.1109/ICET56879.2022.9990631,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9990631,computational thinking;physics classroom;project-based learning,Computational modeling;Education;Problem-solving;Interviews;Physics;Portfolios,,3.0,,34.0,IEEE,23 Dec 2022,,,IEEE,IEEE Conferences
Hot Spots and Trends of Computational Thinking Research in China CiteSpace visualization and analysis based on CNKI data,Y. Wang; L. Xu,"School of Information Science and Engineering, Shandong Normal University, Jinan, China; School of Information Science and Engineering, Shandong Normal University, Jinan, China",2023 13th International Conference on Information Technology in Medicine and Education (ITME),25 Apr 2024,2023,,,161,165,"With the rapid development of computer technology, computational thinking, as one of the core literacy elements of information technology majors, has been widely noticed, and at the same time, it has gradually become one of the core competencies cultivated by education and teaching. This paper uses CiteSpace to visualize and analyze the Chinese core papers related to computational thinking included in CNKI. By studying the current situation of domestic research on computational thinking and related hot keywords, it aims to explore the prospects for the application of computational thinking in secondary education, try to incorporate the educational model of C elements in STEM education, and provide research ideas for the cultivation of computational thinking ability of secondary students.",2474-3828,979-8-3503-1915-6,10.1109/ITME60234.2023.00042,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10505497,computational thinking;information technology;STEM education;vocational secondary education;CiteSpace,Computer science;Computational modeling;Education;Data visualization;Organizations;Market research;Information age,,,,10.0,IEEE,25 Apr 2024,,,IEEE,IEEE Conferences
An Empirical Study on Blended Learning to Promote the Development of Computational Thinking Ability of College Students,L. Liao; J. Liang,"School of Information Technology in Education, South China Normal University, Guangzhou, China; School of Information Technology in Education, South China Normal University, Guangzhou, China",2017 International Symposium on Educational Technology (ISET),10 Aug 2017,2017,,,256,260,"Studies have shown that learning approaches are able to promote the developments of computational thinking on students, including cooperative learning, project-based learning, online communication, Academic dialogue etc. Therefore, these learning approaches can combine with the traditional teaching in a more effective way. Blended learning may promote the developments of computational thinking on students. The paper takes the junior College students as the experimental objects, and carries a pretest-posttest study through unequal experimental and control groups. It approved that blended learning has a positive impact on the college student's computational thinking, i.e., they have an obvious progress.",,978-1-5090-3031-6,10.1109/ISET.2017.64,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8005431,Blended learning;Computational thinking;Computational thinking trend;Skills of computational thinking,Education;Programming profession;Information technology;Management information systems;Software,,3.0,,10.0,IEEE,10 Aug 2017,,,IEEE,IEEE Conferences
Construction and Application of a Computational Thinking Assessment Framework from the Perspective of the Iceberg Model,X. Zhou; W. Zhang; S. Wang; H. Chen,"Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; Faculty of Artificial Intelligence in Education, Central China Normal University, Wuhan, China; School of Information Technology Application Innovation, Wuhan polytechnic, Wuhan, China",2023 5th International Workshop on Artificial Intelligence and Education (WAIE),18 Apr 2024,2023,,,96,100,"Computational thinking assessment is an important part of testing the effectiveness of computational thinking cultivation. However, the existing computational thinking assessments still suffer from the problem of insufficient examination of non-cognitive factors, leading to the lack of validity of its assessment results. Since the iceberg model can comprehensively and deeply explore individual characteristics, this paper draws on the division idea of the model and divides computational thinking into explicit computational thinking the basic knowledge required to solve problems using computational thinking and implicit computational thinking the internal psychological characteristics of individuals in the process of using computational thinking. A comprehensive assessment framework of computational thinking is constructed, which contains five dimensions: knowledge and skills, self-efficacy, internet attitude, learning motivation, and thinking style. Finally, its application in the hierarchical teaching of computational thinking and suggestions for personalized teaching programs are given in order to promote the development of personalized education in computational thinking.",,979-8-3503-0706-1,10.1109/WAIE60568.2023.00025,National Natural Science Foundation of China(grant numbers:61977031); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10496944,computational thinking;computational thinking assessment;iceberg model;assessment framework;computational thinking education,Computational modeling;Conferences;Education;Psychology;Icebergs;Artificial intelligence;Testing,,,,15.0,IEEE,18 Apr 2024,,,IEEE,IEEE Conferences
Real Time Assessment of Computational Thinking,K. H. Koh; A. Basawapatna; H. Nickerson; A. Repenning,"Department of Computer Science, University of Colorado Boulder; AgentSheets Inc., Boulder, USA; Department of Computer Science, University of Colorado Boulder; AgentSheets Inc., Boulder, USA",2014 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),28 Aug 2014,2014,,,49,52,"This paper suggests a Cyberlearning tool based on a highly innovative assessment methodology that helps teachers with computer science education. Currently, there is a strong push to integrate aspects of programming and coding into the classroom environment. However, few if any tools exist that enable real-time formative assessment of in-class programming tasks. The proposed REACT (Real Time Evaluation and Assessment of Computational Thinking) system is a first step toward allowing teachers to see which high-level concepts students have mastered and which ones they are struggling with as students code in real time. REACT supports and facilitates the teaching of 21st century computing skills such as computational thinking [1] in the classroom environment.",1943-6106,978-1-4799-4035-6,10.1109/VLHCC.2014.6883021,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6883021,Computational Thinking;Online Assessment;Real Time Assessment;Computational Thinking Pattern;Computational Thinking Pattern Analysis,Real-time systems;Games;Programming profession;Pattern analysis;Educational institutions;Computer science education,,29.0,,16.0,IEEE,28 Aug 2014,,,IEEE,IEEE Conferences
Improving learning of computational thinking using creative thinking exercises in CS-1 computer science courses,L. D. Miller; L. -K. Soh; V. Chiriacescu; E. Ingraham; D. F. Shell; S. Ramsay; M. P. Hazley,"University of Nebraska System, Lincoln, NE, US; Department of Computer Science and Engineering, University of Nebraska, Lincoln; Department of Computer Science and Engineering, University of Nebraska, Lincoln; Center for Computational Creativity, University of Nebraska, Lincoln; Center for Computational Creativity, University of Nebraska, Lincoln; Center for Computational Creativity, University of Nebraska, Lincoln; Center for Computational Creativity, University of Nebraska, Lincoln",2013 IEEE Frontiers in Education Conference (FIE),19 Dec 2013,2013,,,1426,1432,"Promoting computational thinking is one of the top priorities in CS education as well as in other STEM and non-STEM disciplines. Our innovative NSF-funded IC2Think project blends computational thinking with creative thinking so that students leverage their creative thinking skills to “unlock” their understanding of computational thinking. In Fall 2012, we deployed creative exercises designed to engage Epstein's creative competencies (Surrounding, Capturing, Challenging and Broadening) in introductory level CS courses targeting four different groups (CS, engineering, combined CS/physical sciences, and humanities majors). Students combined hands-on problem solving with guided analysis and reflection to connect their creative activities to CS topics such as conditionals and arrays and to real-world CS applications. Evaluation results (approximately 150 students) found that creative thinking exercise completion had a linear “dosage” effect. As students completed more exercises [0/1 – 4], they increased their long-term retention [a computational thinking test], F(3, 98) = 4.76, p =.004, partial Eta2 = .127 and course grades, F(3, 109) = 4.32, p =.006, partial Eta2 = .106. These findings support our belief that the addition of creative thinking exercises to CSCE courses improves the learning of computational knowledge and skills.",2377-634X,978-1-4673-5261-1,10.1109/FIE.2013.6685067,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6685067,CS1;Creative Thinking;Computational Thinking;College;Computer Science,Ciphers;Reflection;Writing;Computer science;Data collection;Debugging;Educational institutions,,31.0,,19.0,IEEE,19 Dec 2013,,,IEEE,IEEE Conferences
